y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22
-1.551,1.757,2.649,4.13,5.809,9.269,12.742,4.976,5.833,5.536,10.133,-0.942,13.126,-3.382,6.682,7.442,5.553,15.669,4.412,13.266,4.034,B,E
0.681,0.065,0.83,2.73,1.938,-2.662,8.32,2.812,8.716,8.773,13.137,-3.514,2.359,2.47,12.946,-3.718,8.754,7.046,3.647,8.563,6.554,B,D
6.867,4.033,4.642,7.216,7.72,17.603,13.904,6.35,3.929,8.196,1.029,19.853,12.405,2.529,6.422,17.134,12.993,2.82,8.357,8.873,12.324,C,E
2.732,-0.246,1.505,1.72,4.179,15.691,3.983,-2.723,9.644,5.587,10.932,1.853,18.103,7.806,4.803,8.004,1.352,5.119,1.161,-0.652,1.922,B,E
9.013,0.674,1.654,3.719,2.662,11.45,-0.205,11.021,5.449,8.297,17.658,13.93,6.8,9.878,12.12,8.604,15.729,1.313,-2.632,6.576,6.914,C,E
1.323,0.723,1.369,3.067,2.748,2.659,8.647,6.248,19.33,11.771,9.273,1.614,12.196,13.687,8.613,14.871,11.168,-0.26,10.549,7.178,16.255,A,E
7.482,1.655,2.294,2.901,5.221,6.809,16.363,6.761,6.22,2.851,13.59,7.531,4.605,5.442,13.689,13.873,7.051,7.81,9.422,12.974,7.901,B,D
3.813,0.084,1.12,1.638,2.893,11.612,4.827,14.983,3.049,12.467,5.235,14.26,8.261,2.633,15.541,1.208,3.912,17.542,0.092,8.514,11.879,C,F
7.134,0.872,2.252,3.167,3.492,3.922,3.029,10.611,-2.538,13.883,8.806,6.678,2.988,5.05,6.282,4.36,14.897,11.184,21.417,16.004,12.755,B,E
15.89,3.403,4.866,4.485,5.931,1.701,-1.345,11.235,6.27,-0.516,7.63,7.957,2.961,12.39,5.596,10.135,19.902,11.42,8.96,11.073,6.413,A,F
-0.152,-1.213,1.294,0.215,2.697,-0.303,2.209,-0.586,1.234,15.494,6.546,12.905,6.801,-0.519,14.557,1.015,4.067,8.196,18.658,20.497,11.234,A,F
-1.008,1.246,1.752,2.862,4.397,0.087,13.016,16.024,5.403,0.793,4.696,6.766,11.206,18.018,7.786,15.012,8.515,16.778,10.56,6.237,9.13,A,F
-7.567,2.389,2.251,3.506,4.441,10.354,15.403,4.636,12.327,17.468,4.285,5.524,9.83,7.005,5.93,10.62,1.424,3.44,17.216,5.355,19.801,A,E
10.929,1.051,1.262,1.879,2.992,18.557,2.669,-2.063,10.436,13.229,13.919,8.314,5.514,6.988,17.096,11.141,2.287,15.644,4.692,7.56,13.44,A,D
10.324,2.398,2.55,4.145,4.938,3.882,13.829,4.089,7.905,9.603,0.152,14.886,9.502,14.689,6.817,7.842,3.911,10.185,6.194,4.252,11.883,C,D
20.953,0.745,2.967,3.493,5.289,0.313,2.757,11.332,8.565,12.8,8.978,15.886,10.221,9.9,8.334,14.053,8.004,5.72,11.289,6.249,1.899,A,D
-4.528,1.753,2.544,3.441,4.029,9.488,16.309,9.171,4.709,1.284,9.818,1.532,16.497,0.92,0.894,3.517,8.266,18.007,8.801,16.87,6.714,A,E
-2.07,2.055,1.799,3.922,4.067,12.175,14.781,2.851,10.289,8.099,16.643,-0.548,-0.178,2.837,16.479,-2.435,13.455,11.542,4.603,1.311,6.537,A,F
-0.19,-0.189,1.041,2.845,3.545,11.724,11.682,4.856,12.409,8.828,7.761,15.136,18.362,-1.776,9.408,16.098,9.897,7.954,12.757,14.435,7.927,A,F
16.833,0.701,2.078,3.649,3.428,15.623,1.384,3.882,11.495,3.065,11.854,3.908,9.71,7.252,1.261,12.573,2.746,4.875,4.665,3.806,3.06,C,D
25.845,1.739,3.03,4.497,5.149,9.833,0.465,3.74,7.174,-0.143,17.911,8.923,4.606,11.618,10.213,0.344,14.529,-1.456,2.44,9.081,2.715,B,D
-3.756,-0.43,1.247,2.623,3.795,6.732,13.313,8.136,11.179,13.712,14.114,0.833,13.763,10.647,8.693,13.519,12.315,6.913,17.931,1.153,16.246,C,F
-9.235,-0.229,0.455,2.384,2.95,14.068,15.367,14.81,-1.039,6.32,8.37,8.307,6.015,10.418,11.471,6.401,-0.792,9.352,13.321,12.135,3.679,C,F
8.196,0.439,0.742,2.986,3.412,10.865,8.636,17.839,1.183,9.848,2.727,15.425,9.6,6.367,11.17,-0.843,2.166,15.128,1.473,8.956,13.859,A,D
6.313,1.309,3.794,3.681,5.215,13.149,4.518,11.272,4.327,13.854,6.761,12.194,8.5,6.463,7.637,5.205,21.038,6.205,12.084,5.483,16.472,B,E
1.78,-1.864,-0.144,1.531,1.22,-1.013,6.482,14.63,6.709,0.361,5.563,11.944,4.774,15.433,13.056,11.357,11.159,11.088,7.47,14.69,-0.96,B,D
10.419,1.496,2.217,4.518,4.102,6.242,1.582,-0.336,5.77,10.423,8.926,14.115,4.409,2.465,12.127,-3.624,8.642,8.891,15.648,14.117,6.621,C,F
7.48,0.942,3.162,2.335,4.82,4.718,12.287,11.93,4.088,-1.884,12.103,4.435,9.399,16.352,-2.063,16.267,6.742,14.658,10.414,10.577,3.204,A,D
-3.438,1.635,2.788,3.584,4.763,9.789,12.798,12.827,13.084,15.628,2.489,3.699,13.646,7.625,-0.222,15.447,2.112,4.594,11.087,6.937,12.809,B,E
4.93,0.776,-0.198,0.853,3.129,14.259,0.044,-1.642,12.753,10.855,12.029,-1.108,6.384,11.363,18.892,4.977,2.937,15.73,4.859,8.286,16.601,B,E
-3.665,1.187,2.818,2.841,4.389,10.183,12.104,-0.55,12.496,5.831,1.976,15.645,7.886,8.101,12.263,3.371,4.229,18.94,2.574,2.775,12.326,B,F
7.449,2.898,3.149,4.009,4.371,-5.148,6.888,10.161,12.109,4.08,6.535,11.074,13.897,11.989,-0.015,10.874,11.04,2.017,8.89,4.65,3.232,C,F
4.895,2.088,1.81,2.681,5.284,7.995,15.934,4.08,5.114,7.587,14.853,5.734,8.404,4.377,-2.289,11.683,6.013,14.395,7.175,11.749,-1.943,A,D
-0.565,2.479,3.168,3.911,4.895,-0.499,13.11,1.682,18.1,10.461,17.658,4.683,4.249,2.483,17.159,4.261,14.876,7.682,0.084,-0.973,-0.306,A,E
-0.023,1.049,3.192,3.533,4.902,10.929,10.12,8.0,9.287,2.224,6.911,12.178,13.86,-0.996,5.086,15.944,11.804,14.21,11.8,16.421,12.815,C,F
13.317,2.333,3.024,5.255,5.352,9.619,3.658,11.199,7.576,0.226,17.372,0.527,17.696,6.749,6.123,11.317,4.278,6.471,-0.67,4.053,4.402,A,F
12.535,3.253,4.266,4.49,6.132,13.325,2.198,13.365,4.68,6.081,14.591,9.132,2.264,3.203,13.297,1.18,13.848,-1.572,-2.746,15.847,10.183,C,E
0.449,0.61,1.246,1.999,3.577,6.2,6.273,8.87,13.913,17.19,13.126,6.381,13.143,17.148,12.493,15.58,16.602,2.757,15.749,9.357,14.349,C,F
-7.703,-0.011,0.578,1.613,2.589,14.659,17.866,10.334,0.14,3.983,13.387,6.945,1.951,9.399,9.273,12.553,4.344,8.501,8.079,12.205,2.179,B,D
19.195,1.534,2.542,4.358,4.171,11.771,0.179,14.09,7.837,9.82,-2.026,9.921,7.755,8.138,14.511,0.436,0.746,9.395,2.99,10.197,10.49,A,D
11.62,1.27,1.528,2.726,3.601,8.513,4.142,7.274,3.722,17.419,6.892,8.942,10.347,3.974,9.165,3.745,17.374,10.232,15.697,7.948,17.035,C,D
6.352,-0.965,1.421,2.225,3.518,3.68,4.406,18.225,8.69,2.356,15.578,7.748,-1.871,14.407,10.429,12.688,15.701,5.575,8.884,12.658,-0.987,B,D
9.311,1.033,1.504,3.206,4.997,-1.207,1.824,2.989,7.757,11.88,11.374,10.908,8.605,1.51,8.535,-5.073,1.968,-3.16,11.832,17.296,12.469,A,E
3.383,0.753,2.696,3.009,3.591,5.303,5.459,12.551,10.683,2.549,7.168,8.0,12.65,17.917,8.06,13.159,8.849,15.06,0.669,8.858,10.089,A,F
-2.612,2.226,2.822,3.229,4.537,15.379,12.84,12.271,7.077,14.745,-3.466,3.583,9.5,11.678,7.184,12.592,4.51,1.735,7.079,2.64,16.597,A,F
6.929,-0.337,2.104,2.122,3.133,17.832,-0.585,5.684,10.686,13.747,20.922,7.255,3.849,10.798,17.152,4.262,5.527,18.471,8.386,6.437,17.997,C,F
-2.657,0.326,2.038,3.181,4.606,9.434,14.661,-4.384,10.475,10.709,2.992,10.872,6.792,15.727,6.451,6.461,6.267,17.144,6.331,6.994,2.712,A,E
13.882,2.233,2.843,4.298,5.28,0.731,10.162,12.589,14.566,14.408,6.365,20.831,9.886,6.719,-0.99,13.755,11.051,4.471,12.434,-2.572,-1.254,C,D
-8.563,0.983,1.985,2.835,3.593,11.741,19.943,8.658,2.857,4.137,10.001,8.363,16.932,0.657,3.022,7.947,4.807,8.979,0.614,6.945,7.218,A,F
0.045,1.053,0.761,3.4,4.147,4.196,15.649,1.387,19.067,6.025,9.632,-1.519,4.105,1.22,15.716,1.316,17.339,7.207,3.581,2.68,3.951,A,D
12.034,2.515,3.551,4.202,5.5,11.096,10.773,6.748,8.874,7.103,4.836,15.181,10.323,-4.442,3.572,13.382,9.244,8.112,14.027,12.439,8.642,A,D
22.975,2.671,3.638,5.128,6.5,11.406,4.597,8.013,9.056,-2.356,15.76,-0.188,14.682,8.856,5.408,16.394,3.93,-0.119,-2.406,6.462,-1.451,A,D
12.715,0.458,1.615,4.286,3.334,9.119,-0.966,7.132,6.667,4.79,15.885,11.066,7.1,-3.128,7.064,5.209,9.147,6.433,2.195,13.376,10.061,C,F
13.17,2.508,3.417,3.59,5.833,9.287,10.935,8.671,14.242,9.842,7.069,6.097,5.625,13.746,-0.238,14.946,10.671,5.24,10.922,9.541,19.253,A,D
0.949,0.389,0.39,1.841,3.322,17.436,13.538,6.24,-2.479,7.437,9.226,7.443,0.32,14.505,6.037,14.141,5.805,11.139,12.963,8.046,8.321,B,D
-3.332,0.799,0.818,1.317,2.953,12.308,7.692,12.507,4.421,6.709,5.521,19.482,5.293,12.035,16.256,2.744,1.952,13.938,2.861,2.169,15.339,C,E
4.597,-0.412,1.458,2.636,2.879,5.712,2.71,7.424,0.289,20.167,1.011,12.114,13.454,3.218,4.244,6.833,13.502,6.164,11.685,8.139,9.782,C,E
19.424,2.218,2.785,3.316,5.051,4.515,1.382,10.986,10.739,6.933,6.51,8.515,5.633,17.215,10.335,7.821,16.359,14.574,7.396,5.953,5.263,C,D
11.522,-0.0,1.455,2.354,3.732,7.093,-3.195,6.906,-1.422,15.746,10.281,13.644,4.262,3.435,13.915,0.766,3.9,5.231,15.511,16.753,6.965,C,E
8.259,2.12,3.528,4.368,4.786,9.747,6.848,17.413,6.92,3.614,5.146,9.385,6.515,10.303,5.715,15.057,11.79,14.581,1.414,4.566,10.589,B,F
-16.573,0.149,-0.064,1.347,2.163,19.112,19.086,11.553,15.145,14.755,-3.964,4.973,7.657,3.488,4.752,18.32,13.095,1.62,8.989,1.801,11.448,C,E
16.891,0.509,1.123,4.195,3.902,19.156,1.302,0.156,9.115,12.64,13.035,10.627,5.829,9.559,15.386,13.032,4.3,15.894,8.133,12.283,11.266,C,D
8.471,0.443,2.168,3.189,3.952,4.165,15.171,2.087,12.447,7.495,-3.387,6.513,6.69,11.765,10.397,5.044,5.188,10.077,-1.294,-3.234,8.836,A,D
1.989,2.416,2.258,3.63,5.945,-1.032,10.042,8.251,12.592,7.212,5.36,6.726,16.664,7.361,7.505,8.595,13.164,1.309,12.201,8.378,-4.657,B,E
-5.093,2.255,3.224,3.478,5.502,2.01,16.388,8.466,10.246,11.057,13.165,-1.235,15.876,5.537,3.841,8.751,15.761,14.59,11.51,13.193,2.546,B,E
-6.427,2.097,2.947,3.108,3.625,3.31,13.742,2.607,12.915,9.605,6.971,5.209,2.924,5.223,17.735,5.101,13.151,9.305,1.264,-0.284,-0.141,A,E
-0.903,0.318,2.686,2.798,4.398,8.008,12.198,6.542,12.185,10.985,0.271,16.858,8.822,3.58,7.125,18.195,6.535,8.847,14.899,16.461,10.878,C,E
14.702,1.064,0.48,2.918,5.047,15.492,7.124,4.846,10.927,5.564,14.796,-1.63,19.373,12.085,6.257,12.334,0.234,5.125,0.991,-0.19,7.159,A,D
8.499,2.054,2.698,3.638,5.212,11.225,4.345,12.143,8.487,5.421,16.388,9.308,6.572,7.395,8.605,3.516,9.958,9.451,3.448,12.798,5.405,A,F
0.63,0.899,2.973,2.896,4.062,4.979,9.846,2.74,22.626,20.075,5.106,4.762,10.039,15.395,7.761,10.384,12.651,2.739,13.655,8.44,14.036,A,E
-3.621,-0.101,1.363,2.654,4.564,17.67,14.254,9.07,-2.097,2.174,15.54,17.758,1.33,14.259,8.873,12.501,5.391,6.522,10.616,12.65,5.215,B,E
15.523,2.817,3.066,3.767,5.767,9.53,6.858,18.075,2.73,10.793,3.897,18.249,8.114,2.443,16.251,1.242,-1.409,17.481,0.441,7.879,12.305,B,D
8.652,1.535,2.221,3.22,3.652,4.74,2.148,13.323,1.793,16.476,13.345,6.815,11.92,7.317,-2.571,9.993,17.784,12.266,10.798,11.617,16.799,B,E
-2.162,1.385,1.941,2.398,3.467,2.545,7.416,14.738,9.427,-0.566,4.58,7.766,6.108,17.562,11.952,12.385,14.277,8.964,9.46,10.766,-0.931,B,E
7.687,0.837,0.539,2.428,2.83,5.071,2.216,-2.081,4.636,13.531,4.893,9.443,1.279,-0.293,13.604,-7.932,7.974,4.847,14.977,17.763,6.825,A,F
3.252,-0.377,1.051,3.003,3.126,9.364,5.546,7.837,7.244,5.556,8.885,8.749,7.085,12.616,6.033,11.738,2.531,13.791,8.636,13.259,7.671,A,F
6.455,1.337,3.036,3.606,4.128,12.352,13.611,11.735,15.721,15.125,-1.116,8.452,10.848,9.124,10.227,16.079,6.901,4.12,10.414,7.267,11.706,A,D
6.944,1.226,2.626,2.497,3.923,16.937,0.162,3.112,15.21,11.016,10.574,8.6,6.494,9.95,14.704,3.177,3.807,18.837,7.427,2.09,10.086,B,F
1.521,0.542,0.655,2.576,3.318,7.393,12.624,3.849,11.048,8.667,-2.009,10.517,1.228,9.264,11.946,8.727,3.946,17.73,0.856,3.703,13.854,A,D
3.207,-0.266,2.493,2.056,3.864,1.735,14.091,15.24,11.594,8.138,6.376,13.158,11.412,13.97,5.6,12.393,8.774,8.27,12.388,-1.833,-4.702,A,D
8.149,0.021,1.112,2.448,3.755,8.706,7.782,11.581,2.696,2.5,14.539,5.108,19.58,4.256,0.938,6.596,9.014,11.196,4.276,18.195,2.79,B,D
2.503,-0.116,1.665,2.926,2.603,6.156,11.089,2.025,12.924,6.565,9.739,-0.644,-0.678,6.077,14.776,6.739,16.524,8.042,5.251,5.997,-1.662,C,D
6.775,2.157,2.676,4.609,5.287,7.141,6.826,2.893,10.885,7.975,5.785,19.836,7.774,0.384,6.14,18.638,11.088,5.321,15.875,17.203,9.154,C,E
14.17,1.246,2.67,3.101,4.475,10.912,4.989,5.56,8.895,0.904,13.293,1.626,12.062,10.45,4.55,13.804,3.654,1.739,6.146,6.643,2.458,C,D
12.68,1.51,2.15,3.634,3.791,12.36,-1.569,12.156,3.071,5.37,16.244,12.146,5.309,4.807,6.901,0.872,8.582,3.186,-3.36,5.932,11.137,B,F
-1.876,0.589,0.845,2.181,2.815,5.115,14.603,11.062,20.485,16.339,3.706,1.672,14.88,14.252,6.279,16.466,10.73,5.398,16.213,6.357,15.537,B,D
2.619,1.026,2.812,3.326,4.435,11.265,17.77,11.784,-1.097,6.598,16.85,8.319,8.895,14.997,11.958,12.127,5.344,9.018,11.217,14.948,8.415,A,D
5.878,0.908,1.88,2.952,3.316,13.427,10.199,15.509,3.593,9.807,8.099,22.917,5.149,8.721,13.805,-1.499,-3.193,12.746,11.447,7.72,14.135,A,D
10.289,2.418,3.35,3.631,4.844,14.358,3.8,9.998,2.183,21.25,6.754,5.213,6.24,5.801,-0.578,10.375,9.828,10.104,13.714,8.42,13.75,A,E
-1.466,0.921,1.544,2.545,3.746,5.893,8.416,11.896,4.386,1.734,8.935,7.577,2.718,11.698,9.58,5.232,12.503,9.14,3.879,7.94,1.608,B,E
5.963,0.521,2.916,2.435,4.55,9.385,2.594,3.017,5.961,17.489,10.275,13.651,-0.167,3.203,13.564,7.017,10.28,2.847,13.366,23.705,10.851,B,E
0.937,0.663,1.054,2.839,3.303,4.336,6.04,13.623,4.363,2.145,3.05,8.615,12.324,11.398,-0.803,10.825,5.652,12.963,7.359,9.76,10.607,B,E
-8.955,-0.975,-0.264,2.011,3.439,14.063,18.134,11.748,15.728,16.92,1.244,4.519,8.867,12.322,4.609,18.149,6.544,-1.408,13.422,-0.491,13.797,A,F
9.485,1.012,2.19,2.185,4.083,18.23,7.057,2.577,15.123,8.75,12.696,10.06,6.503,3.123,15.814,6.494,-3.149,19.068,5.67,6.036,8.775,A,D
2.778,2.029,3.174,4.434,5.463,9.888,14.115,1.461,14.793,7.599,2.561,12.747,9.975,12.917,13.275,4.332,2.494,14.535,5.884,2.641,15.585,B,E
-0.599,1.032,2.612,1.727,2.864,1.627,12.892,12.237,14.549,11.266,5.577,17.099,12.692,9.443,-2.945,15.436,13.169,12.705,10.502,-3.5,2.977,A,D
-1.144,0.341,0.609,2.314,4.247,7.603,10.93,11.367,6.516,6.002,10.069,0.206,19.571,2.788,5.189,8.474,5.913,19.056,6.909,18.132,11.107,B,F
-8.198,1.117,2.477,1.022,3.09,4.62,13.549,5.357,9.976,5.655,19.472,3.905,5.547,5.794,14.025,6.623,8.443,10.528,4.351,1.098,8.445,B,E
-3.057,-1.129,-0.55,0.98,1.535,11.432,7.306,4.121,13.183,7.272,4.657,13.675,15.664,0.277,4.61,16.395,11.001,7.042,15.147,16.651,7.564,C,F
-0.715,0.757,1.394,2.732,2.566,9.915,7.266,8.873,13.623,-2.259,14.398,3.671,14.998,14.278,3.768,15.537,9.645,6.401,4.974,0.498,8.54,A,E
17.348,2.113,2.272,3.252,3.546,14.269,0.076,9.712,0.443,-1.008,16.338,6.38,4.093,10.766,11.307,5.622,16.194,7.415,3.07,11.552,5.185,A,D
0.531,1.205,2.109,2.467,2.49,11.341,7.851,8.152,13.119,17.238,10.282,9.944,10.97,13.377,9.14,12.563,9.215,4.081,18.079,4.69,16.859,A,F
3.235,0.045,1.904,2.485,3.915,8.89,12.354,14.783,-1.295,10.829,11.114,14.292,-3.256,11.417,4.789,9.267,7.771,7.006,7.303,12.485,6.794,B,D
5.124,2.969,3.114,4.658,5.998,11.069,7.541,19.198,2.307,9.23,4.076,14.025,3.673,8.543,16.149,0.948,0.829,11.223,1.159,9.897,9.732,A,F
16.376,1.517,2.805,3.574,3.724,6.293,2.608,13.87,1.779,16.661,6.412,5.105,8.181,8.516,1.941,8.378,15.31,8.99,10.54,4.509,14.243,C,D
8.98,2.659,3.382,3.485,5.54,4.83,1.314,13.664,6.822,1.601,8.68,14.82,-1.508,16.028,14.277,6.638,18.184,7.805,3.558,13.136,-2.758,C,E
22.959,2.713,2.736,4.313,5.953,0.23,3.049,2.91,7.514,9.772,10.695,12.258,4.341,8.77,17.375,-0.762,4.432,4.453,13.165,13.928,2.853,A,D
12.405,4.572,5.194,5.684,6.808,6.628,6.246,12.282,6.051,2.907,9.685,3.874,11.005,12.081,2.773,14.916,7.11,13.985,4.875,1.722,10.129,A,F
-9.399,2.129,3.179,3.133,3.865,12.468,19.444,16.349,21.708,10.958,0.886,4.223,5.917,12.022,5.96,16.152,7.494,-0.663,9.138,6.604,13.401,A,F
11.514,0.357,2.027,2.679,3.931,20.28,-0.108,-0.609,16.094,10.179,16.321,11.667,7.601,11.978,18.572,2.86,4.619,15.753,6.274,6.413,8.277,B,F
-3.019,-0.114,1.028,2.369,3.12,4.346,9.439,2.54,9.719,8.89,7.79,14.815,9.806,11.307,7.918,3.231,6.255,13.435,0.791,0.397,5.877,A,F
7.063,0.984,1.864,3.42,4.182,0.284,11.103,13.579,15.467,12.585,4.391,11.453,10.787,2.997,2.544,8.387,13.92,4.137,16.593,-3.414,4.011,B,D
-4.065,0.186,1.21,1.913,2.551,8.573,10.218,2.735,5.657,6.292,11.376,6.127,16.922,3.732,5.547,4.912,10.142,10.904,6.8,13.302,0.418,B,F
-4.301,1.722,1.994,3.452,3.952,-0.534,12.106,3.778,11.581,10.845,15.121,3.086,4.891,3.123,19.302,2.667,11.895,10.06,2.464,5.066,-0.571,C,E
-5.204,1.148,2.073,2.104,5.453,10.403,11.075,1.299,13.006,7.324,7.023,13.414,13.516,0.176,2.66,12.785,8.993,2.089,14.14,17.893,6.145,C,E
-1.091,0.043,1.594,2.707,4.658,10.267,8.46,9.828,9.133,0.887,19.41,6.086,16.504,14.714,1.539,14.515,0.966,-2.832,-0.009,-1.538,2.888,A,E
14.549,1.79,3.165,3.091,5.898,10.201,0.845,13.328,2.163,6.523,19.172,13.706,2.491,8.245,9.374,13.162,9.499,2.187,1.688,16.363,8.421,C,F
-2.849,0.505,2.556,2.735,3.777,5.384,11.561,9.126,18.652,17.378,7.945,2.888,11.426,9.762,5.469,16.764,9.781,3.355,14.933,8.583,20.322,A,E
5.755,2.737,4.094,5.646,6.246,9.875,12.161,10.994,1.899,4.982,14.718,10.382,-4.163,11.268,5.826,7.993,3.404,7.934,17.041,11.84,1.547,B,E
0.092,-0.608,0.368,1.059,2.534,11.192,4.694,11.195,-0.859,15.008,-3.24,16.768,8.552,6.093,11.896,2.311,0.851,13.426,9.305,14.675,12.522,C,E
4.29,0.058,1.724,2.478,2.618,8.809,4.145,7.399,4.435,11.142,6.097,13.639,7.581,4.116,0.751,8.32,13.958,6.943,17.742,5.005,16.856,B,E
4.193,1.751,2.335,4.183,4.075,-3.217,5.614,11.62,6.711,0.733,3.621,11.318,7.38,17.931,11.573,8.767,20.8,9.748,13.171,18.929,4.01,A,E
8.908,0.671,2.021,2.128,4.664,4.677,-0.049,-2.051,5.75,13.311,8.944,12.069,4.409,2.719,12.358,3.092,3.617,3.813,15.357,19.16,10.876,B,E
