"ID","Desc","Water","Calories","Protein","Fat","Carbs","Fiber","Sugar","Calcium","Potassium","Sodium","VitaminC","Chol","Portion"
15012,"CAVIAR,BLACK&RED,GRANULAR",47.5,264,24.6,17.9,4,0,0,275,181,1500,0,588,"1 tbsp"
1144,"EGG SUBSTITUTE,POWDER",3.86,444,55.5,13,21.8,0,21.8,326,744,800,0.8,572,".35 oz"
17368,"LAMB,NZ,IMP,LIVER,CKD,SOAKED & FRIED",64.6,168,25.8,6.56,1.48,0,0,5,287,59,0,566,"3 oz"
5661,"CHICKEN,LIVER,ALL CLASSES,CKD,PAN-FRIED",65.22,172,25.78,6.43,1.11,0,0,10,315,92,2.7,564,"1 liver"
5028,"CHICKEN,LIVER,ALL CLASSES,CKD,SIMMRD",66.81,167,24.46,6.51,0.87,0,0,11,263,76,27.9,563,"1 liver"
17376,"LAMB,NZ,IMP,TESTES,CKD,SOAKED & FRIED",73.96,125,21.01,4.56,0,0,0,8,265,118,0,523,"3 oz"
5172,"TURKEY,WHL,GIBLETS,CKD,SIMMRD",66.65,173,26.44,6.61,0,0,0,18,177,117,0,521,"1 giblets"
17203,"VEAL,VAR MEATS&BY-PRODUCTS,LIVER,CKD,BRSD",59.86,192,28.42,6.26,3.77,0,0,6,329,78,1.1,511,"1 slice"
17364,"LAMB,NZ,IMP,KIDNEY,CKD,SOAKED & FRIED",75.07,112,19.78,3.56,0.18,0,0,9,271,199,0,508,"3 oz"
17204,"VEAL,VAR MEATS&BY-PRODUCTS,LIVER,CKD,PAN-FRIED",59.87,193,27.37,6.51,4.47,0,0,7,353,85,0.7,485,"1 slice"
17374,"LAMB,NZ,IMP,SWEETBREAD,CKD,SOAKED & SIMMRD",72.6,144,21.13,6.61,0,0,0,6,354,52,0,462,"3 oz"
5174,"TURKEY,GIZZARD,ALL CLASSES,CKD,SIMMRD",69.22,155,26.45,4.64,0,0,0,17,193,127,6.3,452,"1 gizzard cooked"
5022,"CHICKEN,BROILERS OR FRYERS,GIBLETS,CKD,SIMMRD",67.72,157,27.15,4.5,0,0,0,14,224,67,12.5,442,"1 cup, chopped or dice"
35158,"FISH,WHITEFISH,EGGS (ALASKA NATIVE)",76.24,104,14.66,2.88,4.89,0,0,46,190,160,12,439,""
21018,"FAST FOODS,EGG,SCRAMBLED",66.7,212,13.84,16.18,2.08,0,1.64,57,147,187,3.3,426,"2 eggs"
5177,"TURKEY,LIVER,ALL CLASSES,RAW",75.54,128,18.26,5.5,0,0,0,20,214,131,24.5,415,"1 raw liver"
13323,"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",77.89,99,17.4,3.09,0.29,0,0,13,262,182,9.4,411,"1 oz"
23423,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS,KIDNEY,RAW",80.52,87,15.68,2.64,0,0,0,9,225,175,0,404,"4 oz"
1128,"EGG,WHL,CKD,FRIED",69.47,196,13.61,14.84,0.83,0,0.4,62,152,207,0,401,"1 large"
13326,"BEEF,VAR MEATS & BY-PRODUCTS,LIVER,CKD,BRSD",58.81,191,29.08,5.26,5.13,0,0,6,352,79,1.9,396,"1 slice"
17377,"LAMB,NZ,IMP,TESTES,RAW",85.01,68,11.4,2.38,0.14,0,0,5,265,119,0,393,"4 oz"
7053,"PATE,CHICKEN LIVER,CANNED",65.64,201,13.45,13.1,6.55,0,0,10,95,386,10,391,"1 tbsp"
1255,"EGG,WHL,RAW,FRZ,SALTED,PAST",67.83,138,10.97,10.07,0.83,0,0.07,55,128,3663,0,387,"1 oz"
17369,"LAMB,NZ,IMP,LIVER,RAW",70.8,136,20.7,4.92,2.22,0,0,4,285,59,0,386,"4 oz"
13327,"BEEF, VAR MEATS&BY-PRODUCTS, LIVER, CKD, PAN-FRIED",62.01,175,26.52,4.68,5.16,0,0,6,351,77,0.7,381,"1 slice"
15072,"ROE,MIXED SPECIES,RAW",67.73,143,22.32,6.42,1.5,0,0,22,221,91,16,374,"1 tbsp"
1129,"EGG,WHL,CKD,HARD-BOILED",74.62,155,12.58,10.61,1.12,0,1.12,50,126,124,0,373,"1 cup, chopped"
1171,"EGG,WHL,RAW,FRZ,PAST",75.81,147,12.33,9.95,1.01,0,0.25,62,135,128,0,372,"1 oz"
1123,"EGG,WHL,RAW,FRSH",76.15,143,12.56,9.51,0.72,0,0.37,56,138,142,0,372,"1 large"
5024,"CHICKEN,GIZZARD,ALL CLASSES,CKD,SIMMRD",67.93,154,30.39,2.68,0,0,0,17,179,56,0,370,"1 cup, chopped or dice"
1131,"EGG,WHL,CKD,POACHED",75.85,143,12.51,9.47,0.71,0,0.37,56,138,297,0,370,"1 large"
17367,"LAMB,NZ,IMP,KIDNEY,RAW",81.02,84,15.21,2.54,0.03,0,0,8,231,168,0,369,"4 oz"
5176,"TURKEY,HEART,ALL CLASSES,CKD,SIMMRD",67.15,174,24.88,7.52,0,0,0,21,203,140,0,359,"1 heart"
17219,"VEAL,VAR MEATS&BY-PRODUCTS,THYMUS,CKD,BRSD",73.63,125,22.67,3.11,0,0,0,4,435,59,39.4,350,"3 oz"
5027,"CHICKEN,LIVER,ALL CLASSES,RAW",76.46,119,16.92,4.83,0.73,0,0,8,230,71,17.9,345,"1 liver"
17202,"VEAL,VAR MEATS&BY-PRODUCTS,LIVER,RAW",70.89,140,19.93,4.85,2.91,0,0,5,308,77,0.7,334,"1 oz"
5171,"TURKEY,WHL,GIBLETS,RAW",76.03,124,18.18,5.09,0.07,0,0,18,198,136,0,333,"3 oz"
10863,"PORK,FRSH,VAR MEATS & BY-PRODUCTS,STOMACH,CKD,SIMMRD",70.72,157,21.4,7.26,0.09,0,0,15,85,40,0,316,"3 oz"
1130,"EGG,WHOLE,COOKED,OMELET",76.13,154,10.57,11.66,0.64,0,0.31,48,117,155,0,313,"1 tbsp"
10099,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,CHITTERLINGS,CKD,SIMMRD",67.87,233,12.49,20.32,0,0,0,25,14,18,0,277,"3 oz"
1132,"EGG,WHL,CKD,SCRMBLD",76.4,149,9.99,10.98,1.61,0,1.39,66,132,145,0,277,"1 large"
43285,"EGGS,SCRMBLD,FRZ MIXTURE",72.7,131,13.1,5.6,7.5,0,7.5,17,147,162,0,277,"1 oz"
13325,"BEEF,VAR MEATS&BY-PRODUCTS,LIVER,RAW",70.81,135,20.36,3.63,3.89,0,0,5,313,69,1.3,275,"3 oz"
5173,"TURKEY,GIZZARD,ALL CLASSES,RAW",77.47,111,18.8,3.37,0,0,0,16,185,147,6.2,271,"1 raw gizzard"
35165,"FISH,WHITEFISH,DRIED (ALASKA NATIVE)",20.59,371,62.44,13.44,0,0,0,810,1080,200,0,266,""
1003,"BUTTER OIL,ANHYDROUS",0.24,876,0.28,99.48,0,0,0,4,5,2,0,256,"1 tbsp"
23425,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS,LIVER,RAW",70.39,133,20.5,4.05,3.6,0,0,4,327,53,0,254,"4 oz"
15152,"SHRIMP,MXD SP,CND",75.85,100,20.42,1.36,0,0,0,145,80,870,4.1,252,"1 cup"
17218,"VEAL,VAR MEATS&BY-PRODUCTS,THYMUS,RAW",79.16,101,17.21,3.07,0,0,0,3,488,67,49.2,250,"1 oz"
23437,"BEEF,NZ,IMP,SWEETBREAD,CKD,BLD",56.26,318,12.53,29.79,0,0,0,4,258,52,0,249,"3 oz"
23424,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS LIVER,CKD,BLD",66.44,150,23.3,4.68,3.78,0,0,4,336,55,0,243,"3 oz"
5023,"CHICKEN,GIZZARD,ALL CLASSES,RAW",79.33,94,17.66,2.06,0,0,0,11,237,69,3.7,240,"1 oz"
21003,"FAST FOODS,BISCUIT,W/EGG&BACON",46.67,305,11.33,20.73,19.06,0.5,2.19,126,167,844,1.8,235,"1 biscuit"
15175,"SQUID,MIXED SPECIES,RAW",78.55,92,15.58,1.38,3.08,0,0,32,246,44,4.7,233,"1 oz, boneless"
35180,"STEELHEAD TROUT,DRIED,FLESH (SHOSHONE BANNOCK)",6.49,382,77.27,8.06,0,0,0,85,1720,2850,0,227,""
5175,"TURKEY,HEART,ALL CLASSES,RAW",74.47,140,16.7,7.44,0.4,0,0,18,179,129,3,225,"1 piece"
1002,"BUTTER,WHIPPED,W/ SALT",16.72,718,0.49,78.3,2.87,0,0.06,23,41,583,0,225,"1 pat,  (1"
10119,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,STOMACH,RAW",73.5,159,16.85,10.14,0,0,0,11,140,75,0,223,"1 oz"
18175,"COOKIES,LADYFINGERS,W/LEMON JUC&RIND",19.5,365,10.6,9.1,59.7,1,25.39,47,113,147,3.7,221,"1 oz"
23438,"BEEF,NZ,IMP,SWEETBREAD,RAW",57.67,303,11.51,28.6,0,0,0,4,318,64,0,217,"4 oz"
1001,"BUTTER,WITH SALT",15.87,717,0.85,81.11,0.06,0,0.06,24,24,643,0,215,"1 pat,  (1"
1145,"BUTTER,WITHOUT SALT",17.94,717,0.85,81.11,0.06,0,0.06,24,24,11,0,215,"1 pat,  (1"
35171,"FISH,SALMON,CHUM,DRIED (ALASKA NATIVE)",22.79,378,62.09,14.38,0,0,0,155,910,190,0,214,""
13322,"BEEF,VAR MEATS&BY-PRODUCTS,HEART,CKD,SIMMRD",65.67,165,28.48,4.73,0.15,0,0,5,219,59,0,212,"3 oz"
15151,"CRUSTACEANS,SHRIMP,MXD SP,CKD,MST HT (MAYBE PREVIOUSLY FRZ)",71.56,119,22.78,1.7,1.52,0,0,91,170,947,0,211,"3 oz"
14033,"BEVERAGES,ABBOTT,EAS WHEY PROT PDR",6.61,385,66.67,5.13,17.95,0,5.13,256,564,385,0.8,205,"2 scoop"
23414,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS,HEART,CKD,BLD",62.27,179,31.29,6,0,0,0,6,184,59,0,201,"3 oz"
23444,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS,TRIPE CKD,BLD",77.71,103,19,2.98,0,0,0,158,102,40,0,199,"3 oz"
17372,"LAMB,NZ,IMP,HEART,CKD,SOAKED & SIMMRD",66.65,161,26.26,6.21,0,0,0,5,187,67,0,186,"3 oz"
7014,"BRAUNSCHWEIGER (A LIVER SAUSAGE),PORK",50.6,327,14.5,28.5,3.1,0,0,9,199,977,0,180,"1 oz"
7207,"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SLICED)",50.5,331,14.25,29.35,2.6,0.2,1.2,9,202,1159,9,178,"3 oz"
5170,"TURKEY,SKN FROM WHL (LIGHT & DARK),RSTD",34.91,459,23.94,39.31,0.57,0,0,21,242,116,0,177,"1 serving"
21341,"MCDONALD'S,BIG BRKFST",50.68,285,10.16,19.37,17.5,1.1,0.93,51,207,549,0.4,173,"1 item, 9.5 oz"
18237,"CREAM PUFF SHELL,PREP FROM RECIPE",40.5,360,9,25.9,22.8,0.8,0.25,36,97,483,0,171,"1 oz"
21021,"FAST FOODS,ENG MUFFIN,W/EGG,CHS,&CANADIAN BACON",52.58,228,13.64,9.66,21.67,0.4,2.13,192,173,617,1.1,168,"1 sandwich"
21012,"FAST FOODS,CROISSANT,W/EGG,CHS,&BACON",43.92,312,12.58,19.97,20.79,1,4.8,117,156,602,0.1,167,"1 item"
21360,"MCDONALD'S,BACON EGG & CHS BISCUIT",42.29,304,13.45,18.77,22.26,0.9,2.18,109,121,863,2.1,167,"1 item, 4.9 oz"
21007,"FAST FOODS,BISCUIT,W/EGG,CHS,&BACON",42.99,301,12.01,17.48,24.44,0.2,1.74,103,131,816,0,166,"1 item"
21357,"MCDONALD'S,EGG MCMUFFIN",52.58,228,13.64,9.66,21.67,1.1,2.13,192,173,617,1.2,165,"1 sandwich"
35161,"CARIBOU,SHLDR MEAT,DRIED (ALASKA NATIVE)",33.81,271,59.38,3.67,0,0,0,14,810,950,0,164,""
21022,"FAST FOODS,ENG MUFFIN,W/EGG,CHS,&SAUSAGE",48.82,286,13.38,18.1,17.44,0.2,1.49,168,147,548,0,163,"1 item"
21005,"BREAKFAST ITEMS,BISCUIT W/EGG&SAUSAGE",44.48,312,11.13,20.77,21.05,0.2,0.95,51,149,672,0,161,"1 item"
17375,"LAMB,NZ,IMP,SWEETBREAD,RAW",85.78,72,11,3.16,0,0,0,2,302,39,0,160,"4 oz"
5343,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,CKD,ROTISSERIE,",63.05,176,28.74,6.81,0,0,0,21,301,417,0,160,"1 drumstick"
7919,"SAUSAGE  TURKEY  BRKFST LINKS  MILD",63.12,235,15.42,18.09,1.56,0,0,32,229,639,0.5,160,"2 oz, 2 links"
17132,"VEAL,SHLDR,BLADE,LN,CKD,BRSD",59.24,198,32.66,6.48,0,0,0,40,305,101,0,158,"3 oz"
23640,"BEEF,VAR MEATS & BY-PRODUCTS,TRIPE,CKD,SIMMRD",81.65,94,11.71,4.05,1.99,0,0,81,42,68,0,157,"1 serving"
5313,"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV,HTD (MICROWAVE)",53.89,248,25.34,13.9,3.84,0.9,2.1,38,254,837,0.5,156,"1 serving"
21004,"FAST FOODS,BISCUIT,W/EGG&HAM",56.6,233,10.64,14.08,16.37,0.4,2.2,115,166,1093,0,156,"1 biscuit"
5349,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT & SKN,CKD,ROTISSERIE",59.78,215,26.86,11.98,0.02,0,0.02,21,291,411,0,156,"1 drumstick"
5319,"CHICKEN,BROILER,ROTISSERIE,BBQ,DRUMSTK,MEAT ONLY",64.11,172,27.71,6.76,0,0,0,20,291,403,0,155,"1 drumstick"
35190,"SALMON,RED (SOCKEYE),FILETS W/ SKN,SMOKED (ALASKA NATIVE)",23.93,345,60.62,11.43,0,0,0,58,960,51,0,155,"1 filet"
21359,"MCDONALD'S,SAUSAGE MCMUFFIN W/ EGG",49.96,274,12.59,17.83,17.28,0.9,1.57,172,171,572,0,154,"1 item, 5.8 oz"
10098,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,CHITTERLINGS,RAW",76.11,182,7.64,16.61,0,0,0,16,18,24,1.1,154,"1 oz"
5686,"CHICKEN,SKN (DRUMSTICKS & THIGHS),W/ ADDED SOLN,CKD,RSTD",40.73,421,20.31,37.6,0.44,0,0,15,198,162,0,154,"1 oz"
17129,"VEAL,SHLDR,BLADE,LN&FAT,CKD,BRSD",56.98,225,31.26,10.09,0,0,0,38,297,98,0,153,"3 oz"
7973,"TURKEY BACON,MICROWAVED",34.46,368,29.5,25.87,4.24,0,4.24,163,666,2021,0,153,"1 slice"
21362,"MCDONALD'S,SAUSAGE BISCUIT W/ EGG",44.62,311,11.27,22.26,19.28,0.8,1.43,58,165,664,0,152,"1 item, 5.7 oz"
15018,"COD,ATLANTIC,DRIED&SALTED",16.14,290,62.82,2.37,0,0,0,160,1458,7027,3.5,152,"1 oz"
5359,"CHICKEN,BROILER,ROTISSERIE,BBQ,DRUMSTK MEAT & SKN",61.42,206,25.65,11.46,0.12,0,0.12,22,279,392,0,149,"1 drumstick"
21467,"FAST FOODS,FRIED CHICK,WING,MEAT ONLY,SKN & BREADING REMOVED",56.16,215,28.77,10.2,2.13,0,0,40,296,761,0,148,"1 wing, without skin"
21307,"FAST FOODS,GRIDDLE CAKE SNDWCH,EGG,CHS,& BACON",45.85,272,12.03,13.19,26.19,0.8,9.56,109,158,718,1.8,147,"1 item, 6.1 oz"
15148,"LOBSTER,NORTHERN,CKD,MOIST HEAT",78.11,89,19,0.86,0,0,0,96,230,486,0,146,"1 cup"
17114,"VEAL,RIB,LN,CKD,BRSD",56.08,218,34.44,7.81,0,0,0,24,318,99,0,144,"3 oz"
5699,"TURKEY,SKN FROM WHL,(LIGHT & DARK),W/ ADDED SOLN,RSTD",36.92,451,22.15,40.31,0,0,0,25,263,234,0,144,"1 oz"
15088,"SARDINE,ATLANTIC,CND IN OIL,DRND SOL W/BONE",59.61,208,24.62,11.45,0,0,0,382,397,307,0,142,"1 cup,  drained"
35160,"CARIBOU,RUMP MEAT,HALF DRIED (ALASKA NATIVE)",38.04,255,52.06,5.23,0,0,0,14,710,390,0,141,""
5672,"CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT ONLY,CKD,BRSD",66.87,176,24.55,8.63,0,0,0,12,266,77,0,141,"1 thigh, without skin"
5103,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,RSTD",59.4,254,23.79,16.87,0,0,0,18,212,98,0,141,"1 piece"
5344,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,ROTISSERIE,ORIGINAL",43.76,406,17.66,37.24,0.11,0,0.11,25,245,381,0,141,"1 oz"
21013,"FAST FOODS,CROISSANT,W/EGG,CHS,&HAM",51.14,261,12.45,14.95,18.98,0.9,5.42,95,179,711,0.1,140,"1 item"
19182,"DESSERTS,MOUSSE,CHOC,PREPARED-FROM-RECIPE",62.94,225,4.14,16,16.07,0.6,14.81,96,143,38,0.1,140,"1 recipe,  yield"
5346,"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,ROTISSERIE,ORI",61.13,197,27.69,9.53,0,0,0,32,322,725,0,140,"1 wing"
5352,"CHICKEN,BROILERS OR FRYERS,WING,MEAT & SKN,CKD,ROTISSERIE,OR",55.34,266,24.34,18.77,0.04,0,0.04,29,296,610,0,140,"1 wing"
21385,"BURGER KING,CROISSAN'WICH W/ EGG & CHS",46.4,283,10.35,15.78,24.79,0.7,4.03,231,168,650,0,139,"1 item"
17111,"VEAL,RIB,LN&FAT,CKD,BRSD",53.33,251,32.43,12.53,0,0,0,22,306,95,0,139,"3 oz"
5677,"CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT & SKN,CKD,BRSD",61.93,229,22.57,15.43,0,0,0,11,245,76,0,139,"1 thigh, without skin"
5715,"TURKEY,SKN,FROM RTL PARTS,FROM DK MEAT,CKD,RSTD",39.42,414,24.58,35.03,0,0,0,6,225,106,0,139,"1 oz"
15150,"SHRIMP,MXD SP,CKD,BREADED&FRIED",52.86,242,21.39,12.28,11.47,0.4,0.8,67,225,344,1.5,138,"3 oz"
21519,"FAST FOODS,BRKFST BURRITO,W/ EGG,CHS,& SAUSAGE",47.55,277,11.1,15.63,22.97,1.2,2.57,132,150,744,0.5,137,"1 burrito"
5320,"CHICKEN,WING,FRZ,GLAZED,BBQ FLAV,HTD (CONVENTIONAL OVEN)",57.25,242,22.24,14.87,3.36,0.5,1.94,28,218,559,0,136,"1 serving"
5680,"CHICKEN,DK MEAT,DRUMSTK,MEAT ONLY,W/ ADDED SOLN,CKD,BRSD",70.18,149,22.99,6.33,0,0,0,14,229,169,0,135,"1 drumstick, without skin"
17095,"VEAL,LEG (TOP RND),LN&FAT,CKD,BRSD",55.49,211,36.16,6.33,0,0,0,8,383,67,0,134,"3 oz"
5184,"TURKEY,DK MEAT FROM WHL,MEAT & SKN,CKD,RSTD",61.66,206,27.27,9.95,0.07,0,0,17,228,105,0,134,"1 serving"
5339,"CHICKEN,BROILER,ROTISSERIE,BBQ,WING,MEAT ONLY",62.87,184,28.34,7.79,0.54,0,0.53,32,322,725,0,134,"1 wing"
21410,"FAST FOODS,BAGEL,W/ EGG,SAUSAGE PATTY,CHS,& CONDMNT",45.17,295,12.98,16.97,22.64,0.2,2.87,94,123,550,0.5,133,"1 item"
15146,"CRAYFISH,MXD SP,WILD,CKD,MOIST HEAT",79.37,82,16.77,1.2,0,0,0,60,296,94,0.9,133,"3 oz"
21465,"FAST FOODS,FRIED CHICK,DRMSTK,MEAT ONLY,SKN & BRDING REMOVED",64.24,172,26.24,7.41,0,0,0,16,291,492,0,133,"1 drumstick, bone and skin removed"
5098,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,RSTD",67,179,24.76,8.15,0,0,0,9,269,106,0,133,"1 thigh, without skin"
5094,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,RSTD",61.96,232,23.26,14.71,0,0,0,9,253,102,0,133,"1 thigh, with skin"
5687,"CHICKEN,DK MEAT,DRUMSTK,MEAT & SKN,W/ ADDED SOLN,CKD,BRSD",67.06,183,21.55,10.71,0.13,0,0,14,218,165,0,133,"1 drumstick, with skin"
21329,"MCDONALD'S,SAUSAGE,EGG & CHS MCGRIDDLES",47.03,283,10.77,17.73,22.04,0.6,7.9,96,146,652,0,132,"1 item, 7 oz"
21305,"FAST FOODS,GRIDDLE CAKE SNDWCH,EGG,CHS,& SAUSAGE",47.03,291,10.77,17.73,22.04,0.6,7.9,96,146,652,0,132,"1 item"
5671,"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT OLY,CKD,BRSD",69.94,149,23.93,5.95,0,0,0,12,239,117,0,132,"1 drumstick, without skin"
5676,"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MT & SKN,CKD,BRSD",66.33,187,22.72,10.73,0,0,0,12,229,111,0,132,"1 drumstick, without skin"
13340,"BEEF,VAR MEATS&BY-PRODUCTS,TONGUE,CKD,SIMMRD",57.87,284,19.29,22.3,0,0,0,5,184,65,1.3,132,"3 oz"
5675,"CHICKEN,SKN (DRUMSTICKS & THIGHS),CKD,RSTD",39.45,462,16.57,43.99,0,0,0,10,181,85,0,132,"1 oz"
5351,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT & SKN,CKD,ROTISSERIE,O",60.34,233,22.93,15.7,0.02,0,0.02,15,260,345,0,132,"1 thigh"
5308,"CHICKEN,CORNISH GAME HENS,MEAT&SKN,CKD,RSTD",58.68,259,22.27,18.21,0,0,0,13,245,64,0.5,131,"3 oz"
10103,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,HEART,RAW",76.21,118,17.27,4.36,1.33,0,0,5,294,56,5.3,131,"1 oz"
21411,"FAST FOODS,BAGEL,W/ BRKFST STEAK,EGG,CHS,& CONDMNT",44.9,282,15.95,14.07,22.99,0.2,2.97,93,145,642,0,130,"1 item"
5073,"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,CKD,RST",69.93,155,24.24,5.7,0,0,0,11,256,128,0,130,"1 drumstick, without skin"
5069,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,RSTD",66.39,191,23.35,10.15,0,0,0,11,247,123,0,130,"1 drumstick, with skin (yield from 1 lb ready-to-cook chicken)"
5345,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,ROTISSERIE,OR",63.89,196,24.06,11.09,0,0,0,13,264,337,0,130,"1 thigh"
5673,"CHICKEN,SKN (DRUMSTICKS & THIGHS),CKD,BRSD",42.09,443,14.61,42.76,0,0,0,9,161,75,0,130,"1 oz"
5627,"EMU,FULL RUMP,CKD,BRLD",61.97,168,33.67,2.68,0,0,0,7,324,110,0,129,"1 serving,  ( 3 oz )"
17176,"GAME MEAT,OPOSSUM,CKD,RSTD",58.3,221,30.2,10.2,0,0,0,17,438,58,0,129,"3 oz"
5362,"CHICKEN,BROILER,ROTISSERIE,BBQ,WING MEAT & SKN",57.23,257,23.42,18.04,0.6,0,0.6,33,285,579,0,129,"1 wing"
5741,"TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,RSTD",65.23,165,27.71,6.04,0,0,0,17,227,104,0,128,"3 oz"
5216,"TURKEY,BACK,FROM WHL BIRD,MEAT ONLY,RSTD",65.23,173,27.71,6.04,0,0,0,17,227,104,0,128,"3 oz"
5188,"TURKEY,FROM WHL,DK MEAT,CKD,RSTD",65.23,173,27.71,6.04,0,0,0,17,227,104,0,128,"1 serving"
5180,"TURKEY FROM WHL,NECK,MEAT ONLY,CKD,SIMMRD",69.47,162,22.48,7.36,0,0,0,58,114,246,0,128,"1 serving"
5082,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,CKD,RSTD",67.69,174,24.22,7.8,0,0,0,12,269,99,0,128,"3 oz"
5334,"CHICKEN,BROILER,ROTISSERIE,BBQ,THIGH,MEAT ONLY",64.35,193,24.09,10.74,0,0,0,13,262,335,0,128,"1 thigh"
5689,"CHICKEN,DK MEAT,DRUMSTK,MEAT & SKN,W/ ADDED SOLN,CKD,RSTD",65.97,180,24.72,9,0.05,0,0,13,244,186,0,128,"1 drumstick, with skin"
5692,"CHICKEN,DK MEAT,THIGH,MEAT & SKN,W/ ADDED SOLN,CKD,RSTD",62.6,214,23.47,13.81,0.09,0,0,11,254,174,0,128,"1 thigh, with skin"
5347,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT & SKN,CKD,ROTISSERIE,OR",56.44,260,23.23,18.59,0.03,0,0.03,35,291,584,0,128,"1 back"
15147,"LOBSTER,NORTHERN,RAW",80.95,77,16.52,0.75,0,0,0,84,200,423,0,127,"1 lobster"
5078,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,RSTD",66.74,184,24.03,8.99,0,0,0,12,264,98,0,127,"3 oz"
5361,"CHICKEN,BROILER,ROTISSERIE,BBQ,THIGH MEAT & SKN",61.41,226,22.51,15.08,0.12,0,0.12,16,255,335,0,127,"1 thigh"
